DATE,FYGFGDQ188S
1970-01-01,26.71366
1970-04-01,25.75702
1970-07-01,25.99923
1970-10-01,26.75362
1971-01-01,25.72712
1971-04-01,25.46263
1971-07-01,25.89441
1971-10-01,26.64192
1972-01-01,26.08359
1972-04-01,24.87237
1972-07-01,24.76231
1972-10-01,24.95109
1973-01-01,24.67234
1973-04-01,23.61801
1973-07-01,23.21308
1973-10-01,22.99225
1974-01-01,22.96519
1974-04-01,21.96188
1974-07-01,21.85098
1974-10-01,21.97047
1975-01-01,22.96871
1975-04-01,23.48302
1975-07-01,24.05990
1975-10-01,24.82105
1976-01-01,25.34613
1976-04-01,25.41774
1976-07-01,25.88455
1976-10-01,26.18271
1977-01-01,26.36253
1977-04-01,25.44962
1977-07-01,25.64819
1977-10-01,26.06394
1978-01-01,26.56817
1978-04-01,25.21576
1978-07-01,25.20074
1978-10-01,24.99878
1979-01-01,24.95510
1979-04-01,24.17323
1979-07-01,23.94828
1979-10-01,24.15552
1980-01-01,23.91257
1980-04-01,24.40558
1980-07-01,24.85427
1980-10-01,24.71050
1981-01-01,24.76392
1981-04-01,24.38726
1981-07-01,24.22244
1981-10-01,25.16168
1982-01-01,26.23118
1982-04-01,26.04812
1982-07-01,27.49681
1982-10-01,29.02869
1983-01-01,30.03786
1983-04-01,30.46486
1983-07-01,30.85207
1983-10-01,30.94904
1984-01-01,31.31733
1984-04-01,31.30237
1984-07-01,32.05443
1984-10-01,33.10472
1985-01-01,33.45569
1985-04-01,34.00518
1985-07-01,34.34319
1985-10-01,35.93720
1986-01-01,36.25327
1986-04-01,37.06959
1986-07-01,37.81619
1986-10-01,38.89843
1987-01-01,38.94981
1987-04-01,38.93233
1987-07-01,38.75706
1987-10-01,39.01892
1988-01-01,39.35668
1988-04-01,38.79383
1988-07-01,38.83776
1988-10-01,38.80314
1989-01-01,38.71024
1989-04-01,38.16724
1989-07-01,38.28949
1989-10-01,39.06522
1990-01-01,39.66257
1990-04-01,39.74431
1990-07-01,40.52376
1990-10-01,42.24243
1991-01-01,43.05343
1991-04-01,43.13567
1991-07-01,44.24358
1991-10-01,45.22334
1992-01-01,45.85232
1992-04-01,46.00345
1992-07-01,46.42086
1992-10-01,46.84030
1993-01-01,47.36720
1993-04-01,47.76493
1993-07-01,47.87488
1993-10-01,48.22246
1994-01-01,48.26273
1994-04-01,47.50795
1994-07-01,47.46442
1994-10-01,47.52490
1995-01-01,47.98352
1995-04-01,47.94631
1995-07-01,47.54835
1995-10-01,47.40004
1996-01-01,47.83675
1996-04-01,46.54186
1996-07-01,46.45946
1996-10-01,46.32082
1997-01-01,46.32627
1997-04-01,44.66071
1997-07-01,44.05470
1997-10-01,43.88258
1998-01-01,43.67063
1998-04-01,42.25759
1998-07-01,41.24869
1998-10-01,40.75096
1999-01-01,40.31744
1999-04-01,38.6845
1999-07-01,37.86248
1999-10-01,37.52998
2000-01-01,36.87171
2000-04-01,34.1121
2000-07-01,33.32391
2000-10-01,32.71009
2001-01-01,32.80143
2001-04-01,30.89137
2001-07-01,31.50312
2001-10-01,31.83499
2002-01-01,31.93466
2002-04-01,31.81223
2002-07-01,32.34318
2002-10-01,32.97389
2003-01-01,33.20866
2003-04-01,33.73427
2003-07-01,33.92545
2003-10-01,34.35248
2004-01-01,35.02902
2004-04-01,34.82868
2004-07-01,34.97163
2004-10-01,35.17424
2005-01-01,35.81338
2005-04-01,35.03637
2005-07-01,35.01106
2005-10-01,35.38378
2006-01-01,35.83165
2006-04-01,34.88186
2006-07-01,34.91811
2006-10-01,34.90998
2007-01-01,35.55432
2007-04-01,34.32166
2007-07-01,34.66906
2007-10-01,34.90498
2008-01-01,36.26991
2008-04-01,35.5518
2008-07-01,39.02437
2008-10-01,43.62377
2009-01-01,47.37291
2009-04-01,49.90158
2009-07-01,52.28458
2009-10-01,53.33579
2010-01-01,56.17657
2010-04-01,57.67095
2010-07-01,59.62122
2010-10-01,61.36991
2011-01-01,62.90334
2011-04-01,62.65052
2011-07-01,64.75106
2011-10-01,65.97861
2012-01-01,67.68639
2012-04-01,68.16893
2012-07-01,69.08525
2012-10-01,70.5619
2013-01-01,71.61412
2013-04-01,71.17458
2013-07-01,70.66823
2013-10-01,71.86587
2014-01-01,73.51665
2014-04-01,71.76422
2014-07-01,71.80771
2014-10-01,72.70969
2015-01-01,72.46747
2015-04-01,71.5273
2015-07-01,71.31846
2015-10-01,74.31389
2016-01-01,75.19061
2016-04-01,74.48445
2016-07-01,75.04378
2016-10-01,75.64063
2017-01-01,74.55599
2017-04-01,73.92953
2017-07-01,74.55506
2017-10-01,73.97834
2018-01-01,75.93645
2018-04-01,75.23257
2018-07-01,75.86428
2018-10-01,77.06685
2019-01-01,76.87523
2019-04-01,75.7769
2019-07-01,77.55951
2019-10-01,78.47268
2020-01-01,79.37147
2020-04-01,103.19001
2020-07-01,97.18208
2020-10-01,98.30604
2021-01-01,97.3747
2021-04-01,95.96937
2021-07-01,93.60823
2021-10-01,93.97162
2022-01-01,95.50189
2022-04-01,93.69412
2022-07-01,93.55854
2022-10-01,92.92209
2023-01-01,92.17272
2023-04-01,94.15831
2023-07-01,95.43418
2023-10-01,96.43463
2024-01-01,97.39733
2024-04-01,96.44626
