DATE,MKTGDPCNA646NWDB
1960-01-01,59716249310.9742
1961-01-01,50056685957.359
1962-01-01,47209186415.3555
1963-01-01,50706614526.1472
1964-01-01,59708125203.8643
1965-01-01,70436008642.4251
1966-01-01,76720005491.8964
1967-01-01,72881364882.4909
1968-01-01,70846276051.4727
1969-01-01,79705614854.7674
1970-01-01,92602634891.6589
1971-01-01,99800593790.9886
1972-01-01,113689308020.343
1973-01-01,138543170458.064
1974-01-01,144188970821.072
1975-01-01,163429530659.638
1976-01-01,153939265947.775
1977-01-01,174935933078.663
1978-01-01,149540752829.268
1979-01-01,178280594413.043
1980-01-01,191149211575.0
1981-01-01,195866382432.54
1982-01-01,205089699858.779
1983-01-01,230686747153.257
1984-01-01,259946510957.143
1985-01-01,309488028132.653
1986-01-01,300758100107.246
1987-01-01,272972974764.574
1988-01-01,312353631207.819
1989-01-01,347768051311.741
1990-01-01,360857912565.966
1991-01-01,383373318083.624
1992-01-01,426915712715.856
1993-01-01,444731282435.515
1994-01-01,564321854521.013
1995-01-01,734484834573.582
1996-01-01,863749314718.538
1997-01-01,961601980984.623
1998-01-01,1029060747620.65
1999-01-01,1094003874937.34
2000-01-01,1211331651866.09
2001-01-01,1339400897105.11
2002-01-01,1470557654799.95
2003-01-01,1660280543846.79
2004-01-01,1955346768721.39
2005-01-01,2285961149879.85
2006-01-01,2752118657184.02
2007-01-01,3550327802998.4
2008-01-01,4594336785737.67
2009-01-01,5101691124285.21
2010-01-01,6087191746679.49
2011-01-01,7551545703440.75
2012-01-01,8532185381680.59
2013-01-01,9570471111831.68
2014-01-01,10475624944355.2
2015-01-01,11061572618578.7
2016-01-01,11233313730348.7
2017-01-01,12310491333980.9
2018-01-01,13894907857880.6
2019-01-01,14279968506271.7
2020-01-01,14687744162801.0
2021-01-01,17820459508852.2
2022-01-01,17881783387000.9
2023-01-01,17794781986104.5
